,Open,High,Low,Close,Adj Close,Volume,MA50,MA200
45,128.9600067138672,129.10000610351562,126.12000274658203,126.66000366210938,124.46189880371094,192541500,118.94939987182617,97.8874997329712
46,125.0199966430664,128.30999755859375,123.44999694824219,128.22999572753906,126.004638671875,121251600,119.1745997619629,98.19593719482423
47,131.61000061035156,134.41000366210938,129.64999389648438,131.8800048828125,129.59129333496094,168904800,119.32419982910156,98.49866222381591
48,132.16000366210938,132.42999267578125,130.77999877929688,130.9600067138672,128.687255859375,88223700,119.52139999389648,98.80917476654052
49,131.32000732421875,133.4600067138672,131.10000610351562,131.97000122070312,129.67971801757812,54930100,119.73699996948243,99.15873727798461
50,133.99000549316406,137.33999633789062,133.50999450683594,136.69000244140625,134.31781005859375,124486200,120.05660003662109,99.49472478866578
51,138.0500030517578,138.7899932861328,134.33999633789062,134.8699951171875,132.5293731689453,121047300,120.37360000610352,99.86631225585937
52,135.5800018310547,135.99000549316406,133.39999389648438,133.72000122070312,131.39939880371094,96452100,120.7283999633789,100.21883726119995
53,134.0800018310547,134.74000549316406,131.72000122070312,132.69000244140625,130.38720703125,99116600,121.03199996948243,100.5739497756958
54,133.52000427246094,133.61000061035156,126.76000213623047,129.41000366210938,127.16413879394531,143301900,121.28279998779297,100.91502479553223
55,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,128.7363739013672,97664900,121.58799987792969,101.28352476119996
56,127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211,124.40292358398438,155088000,121.81919982910156,101.63606225967408
57,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,128.64794921875,109578200,122.13659973144532,101.98206224441529
58,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,129.75833129882812,105158200,122.44559982299805,102.33541225433349
59,129.19000244140625,130.1699981689453,128.5,128.97999572753906,126.74163055419922,100384500,122.80119979858398,102.65726222991944
60,128.5,129.69000244140625,126.86000061035156,128.8000030517578,126.56476593017578,91951100,123.07079986572266,102.99158723831177
61,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,128.6184539794922,88636800,123.51139984130859,103.32752473831177
62,130.8000030517578,131.0,128.75999450683594,128.91000366210938,126.6728515625,90221800,123.91419998168945,103.65421226501465
63,128.77999877929688,130.22000122070312,127.0,127.13999938964844,124.93354797363281,111598500,124.2481999206543,103.98877475738526
64,127.77999877929688,128.7100067138672,126.94000244140625,127.83000183105469,125.611572265625,90757300,124.50580001831055,104.3217622756958
65,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,129.73867797851562,104319500,124.76580001831054,104.68014976501465
